ID	ref_short	DOI	reference	lat	long	locality	country	BrazilState	DO	marked	LT	herbarium	feces	ground.survey	species	Nindiv	Ntraps	trapsurface	studylength	frequency	peak	vegetation	biome	trees	shrubs	herbs	liana	others
11	Barnett 2010		Barnett, AA (2010). Diet, habitat use and conservation ecology of the golden-backed uacari, Cacajao melanocephalus ouakary, in Jaú National Park, Amazonian Brazil.  PhD. Roehampton University, London. 	1.883889	-61.673333	terra firme	Brazil	Roraima	yes	marked	no	no	no	no	241	114	NA	NA	25	monthly	non-available	rainforest	1					
12	Batalha & Mantovani 2000	10.1590/S0034-71082000000100016 	Batalha, M. A. and Mantovani, W. (2000). Reproductive phenological patterns of cerrado plant species at Pé-de-Gigante Reserve (Santa Rita do Passa Quatro, SP, Brazil): a comparison between the herbaceous and woody floras. Revista Brasileira de Biologia 60(1): 129-145.	-21.604167	-47.570278	Pe-de-Gigante	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	67	NA	NA	NA	17	irregular	"rainy for zoochorous spp; dry for anemocorous"	cerrado woodland	7	yes	yes	yes	no	no
13	Batalha & Martins 2004	10.1071/bt03098	Batalha, M. A. and Martins, F. R. (2004). Reproductive phenology of the cerrado plant community in Emas National Park (central Brazil). Australian Journal of Botany 52(2): 149-161.	-17.816667	-52.65	PN Emas	Brazil	Goias	yes	unmarked	no	no	no	no	601	NA	NA	NA	12	irregular	rainy season	open grassy savanna	7	yes	yes	yes	yes	yes
14	Batalha et al 1997	10.1590/S0102-33061997000100007	Batalha, M. A., Aragaki, S. and Mantovani, W. (1997). Phenological variations ofthe cerrado species in Emas - Pirassununga, SP. Acta Botanica Brasilica 1(1): 61-78.	-22.033333	-47.5	Pirassunga, Emas	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	358	NA	NA	NA	12	irregular	"rainy for zoochorous spp; dry for anemocorous"	cerrado woodland	7	yes	yes	yes	no	no
15	Bendix et al. 2006	10.1007/s00484-006-0029-8	Bendix, J., Homeier, J., Ortiz, E. Cueva, Emck, P., Breckle, S. W., Richter, M. and Beck, E. (2006). Seasonality of weather and tree phenology in a tropical evergreen mountain rain forest. International Journal of Biometeorology 50(6): 370-384.	-3.971667	-79.079167	Reserva Biológica San Francisco	Ecuador	NA	yes	marked	no	no	no	no	12	404	NA	NA	44	biweekly	primary in rainy season and secondary in dry season	montane formations	1	yes	no	no	no	no
16	Bentos et al 2008		Bentos, T. V., Mesquita, R. C. G. and Williamson, G. B. (2008). Reproductive phenology of Central Amazon pioneer trees. Tropical Conservation Science 1(3): 186-203.	-2.416667	-59.833333	Biological Dynamics of Forest Fragments Project, Manaus 	Brazil	Amazonas	yes	marked	no	no	no	no	13	30	NA	NA	48	monthly	rainy season	rainforest	1	yes	no	no	no	no
17	Berg et al 2007	10.1111/j.1557-9263.2006.00080.x	Berg, K. S., Socola, J. and Angel, R. R. (2007). Great Green Macaws and the annual cycle of their food plants in Ecuador. Journal of Field Ornithology 78(1): 1-10.	-2.116667	-80.077778	Cerro Blanco, Province of Guayas	Ecuador	NA	yes	marked	no	no	no	no	10	100	NA	NA	12	weekly	rainy season	tropical dry forest	1	yes	no	no	no	no
18	Borges et al. 2002		Borges, Maristela S. B., Iturralde, Rosalina Berazaín, Peral, Fabrícia C., Caseri, Ronaldo, Tamburi, Cristiane A. R. and Trueba, Dania Prieto (2002). Aspectos fenológicos en un bosque semideciduo estacional São Pedro, Potirendaba, Estado de São Paulo, Brasil. Revista del Jardín Botánico Nacional 23(2): 211-222.	-20.815556	-49.388333	Potirendaba	Brazil	Sao Paulo	yes	marked	no	no	no	no	10	50	NA	NA	12	biweekly	rainy season	tropical dry forest	1	yes	no	no	no	no
19	Boubli 1997	Thesis	Boubli, J. P. (1997). Ecology of the Black Uakari Monkey, Cacajao melanocephalus melanocephalus, in Pico da Neblina National Park, Brazil.  PhD. University of California, Berkeley. 218 pp.	0.4	-66.3	Pico da Neblina	Brazil	Amazonas	yes	marked	no	no	no	no	145	436	NA	NA	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
20	Boyle & Bronstein 2012		Boyle, W. A. and Bronstein, J. L. (2012). Phenology of tropical understory trees: patterns and correlates. Revista De Biologia Tropical 60(4): 1415-1430.	10.422	-84.015	La Selva, 100 m	Costa Rica	NA	yes	marked	no	no	no	no	19	100	NA	NA	12	weekly	aseasonal	rainforest	1	no	yes	no	no	no
21	Boyle & Bronstein 2012		Boyle, W. A. and Bronstein, J. L. (2012). Phenology of tropical understory trees: patterns and correlates. Revista De Biologia Tropical 60(4): 1415-1430.	10.371111	-84.045833	Braulio Carrillo, 300 m	Costa Rica	NA	yes	marked	no	no	no	no	22	72	NA	NA	12	weekly	aseasonal	rainforest	1	no	yes	no	no	no
22	Boyle & Bronstein 2012		Boyle, W. A. and Bronstein, J. L. (2012). Phenology of tropical understory trees: patterns and correlates. Revista De Biologia Tropical 60(4): 1415-1430.	10.284167	-84.046389	Rara Avis, 750 m	Costa Rica	NA	yes	marked	no	no	no	no	13	74	NA	NA	12	weekly	aseasonal	rainforest	1	no	yes	no	no	no
23	Brina 1998	Thesis	Brina, A. E. (1998). Aspectos da dinâmica da vegetação associada a afloramentos calcários na apa carste de Lagoa Santa, MG. Instituto de Ciencias Biologicas PhD. University of Belo Horizonte, Belo Horizonte. 	-19.466667	-44.016667	Matozinhos, Lagoa Santa	Brazil	Minas Gerais	yes	marked	no	no	no	no	70	NA	NA	NA	12	monthly	dry season	tropical dry forest	7	yes	yes	yes	no	no
24	Bullock & Solis-Magallanes 1990	10.2307/2388716	Bullock, Stephen H. and Solis-Magallanes, J. Arturo (1990). Phenology of Canopy Trees of a Tropical Deciduous Forest in Mexico. Biotropica 22(1): 22-35.	19.5	-105.05	Chamela	Mexico	NA	yes	marked	no	no	no	no	108	1094	NA	NA	42	monthly and biweekly	aseasonal	tropical dry forest	2	yes	no	no	no	no
25	Camacho & Orozco 1998		Camacho, M. and Orozco, L. (1998). Phenologic patterns for 12 montane forest tree species in the Talamanca range, Costa Rica. Revista de Biología Tropical 46(3): 533-542.	9.515	-83.718056	Cordillera de Talamanca	Costa Rica	NA	yes	marked	no	no	no	no	12	160	NA	NA	49	monthly	transition dry to wet season	montane formations	1	yes	no	no	no	no
26	Cara  2006	Thesis	Cara, P. A. A. (2006). Efeito de borda sobre a fenologia, as síndromes de polinização e a dispersão de sementes de uma comunidade arbórea na floresta atlântica ao norte do Rio São Francisco. Biologia Vegetal PhD:. Universidade Federal de Pernambuco, Recife. 210 pp.	-9	-35.866667	Usina Serra Grande, Alagoas	Brazil	Alagoas	yes	marked	no	no	no	no	83	400	NA	NA	24	monthly	rainy season	rainforest	1	yes	no	no	no	no
27	Carmo & Morellato 2000		Carmo, Marta Regina Barrotto and Morellato, L. P. C. (2000). Fenologia de árvores e arbustos das matas ciliares da bacio do rio Tibagi, Estado do Paraná, Brasil. Matas ciliares: recuperação e conservação. Universidade de São Paulo/FAPESP, São Paulo: 125-141.	-24.011111	-50.740006	Rio Tibagi	Brazil	Parana	no		no	yes	no	no	261	NA	NA	NA	NA	herbarium	rainy season	seasonally flooded forests	1	no	yes	no	no	no
28	Carvalho 1980		Carvalho, J. O. P. (1980). Fenologia de espécies florestais de potencial econômico que ocorrem na Floresta Nacional do Tapajós. Boletim de Pesquisa EMBRAPA. 20: 1-15.	-3.066667	-54.9	Floresta Nacional de Tapajos	Brazil	Para	yes	marked	no	no	no	no	66	473	NA	NA	32	biweekly	rainy season	rainforest	1	yes	no	no	no	no
29	Cattanio et al 2004	10.1590/S0100-84042004000400010	Cattanio, J. H., Anderson, A. B., Rombold, J. S. and Nepstad, D. C. (2004). Phenology, litterfall, growth, and root biomass in a tidal floodplain forest in the Amazon estuary. Revista Brasileira de Botânica 27(4): 703-712.	-1.499528	-48.451631	Combu Island	Brazil	Para	yes	marked	no	no	no	no	15	NA	NA	NA	12	biweekly	rainy season	seasonally flooded forests	1	yes	no	no	no	no
30	Cesar 1988	Thesis	Cesar, O. (1988). Composição florística, fitossociologica e ciclagem de nutrientes em mata mesófila semidecídua (Fazenda Barreiro Rico, Mun. Anhembi, SP). Botany Teacher Thesis. Universidade Estadual Paulista, Rio Claro. 223 pp.	-22.666667	-48.166667	Fazenda Barreiro Rico (SP)	Brazil	Sao Paulo	no		yes	no	no	no	10	NA	35	1	36	monthly	non-available	tropical dry forest	7	yes	yes	yes	yes	yes
31	Chiarello 1994		Chiarello, A. G. (1994). Diet of the brown howler monkey Alouatta fusca in a semi-deciduous forest fragment of Southeastern Brazil. Primates 35(1): 25-34.	-22.829	-47.109	Santa Genebra	Brazil	Sao Paulo	yes	marked	no	no	no	no	72	NA	NA	NA	12	bimonthly	rainy season	seasonal forest	1					
32	Colonnello  1991		Colonnello, G. (1991). Phenological observations and forest litter production in a flooded forest (varzea) of the Orinoco river, Venezuela. Interciencia 16(4): 202-208.	8.406469	-63.1113	Várzea do rio Orinoco	Venezuela	NA	yes	marked	yes	no	no	no	22	244	25	NA	12	monthly	rainy season	seasonally flooded forests	7	yes	no	no	no	no
33	Conceiçao et al 2007	10.1590/S0100-84042007000300012	Conceição, A. A., Funch, L. S. and Pirani, J. R. (2007). Reproductive phenology, pollination and seed dispersal syndromes on sandstone outcrop vegetation in the “Chapada Diamantina”, northeastern Brazil: population and community analyses. Revista Brasileira de Botânica 30(3): 475-485.	-12.456944	-41.472222	Chapada Diamantina	Brazil	Bahia	yes	marked	no	no	no	no	43	58	NA	NA	24	monthly	transition wet to dry season	montane formations	7	yes	yes	yes	no	no
34	Cornejo-Tenorio & Manriquez 2007		Cornejo-Tenorio, Guadalupe and Ibarra-Manriquez, Guillermo (2007). Plant reproductive phenology in a temperate forest of the Monarch Butterfly Biosphere Reserve, Mexico. Interciencia 32(7): 445-452.	19.995	-100.165	Cerro Altaminaro, Michoacán	Mexico	NA	yes	marked	no	no	no	no	112	NA	NA	NA	12	monthly	dry season	temperate evergreen forest	3	yes	yes	yes	no	no
35	Cortes-Flores et al.  2013	10.1016/j.foreco.2012.10.038	Cortés-Flores, Jorge, Andresen, Ellen, Cornejo-Tenorio, Guadalupe and Ibarra-Manriquez, Guillermo (2013). Fruiting phenology of seed dispersal syndromes in a Mexican Neotropical temperate forest. Forest Ecology and Management 289: 445-454.	19.508889	-101.273889	Cerro El Aguila, Michoacán	Mexico	NA	yes	marked	no	no	no	no	133	660	NA	NA	24	monthly	dry season	temperate evergreen forest	3	yes	yes	yes	no	no
36	Costa & Magnusson 2003	10.1111/j.1744-7429.2003.tb00267.x	Costa, F. R. C. and Magnusson, W. E. (2003). Effects of selective logging on the diversity and abundance of flowering and fruiting understory plants in a central amazonian forest. Biotropica 35(1): 103-114.	-2.61	-60.183	Experimental Forest Management Station ZF-2, INPA	Brazil	Amazonas	yes	marked	no	no	no	no	111	NA	NA	NA	24	monthly	rainy season	rainforest	1	yes	yes	yes	no	arvoretas e pequenas palmeiras
37	Costa et al 2004	10.1590/S0102-33062004000400006	Costa, I. R., Araújo, F. S. and Lima-Verde, L. W. (2004). Flora and autecology’s aspects of a disjunction cerrado at Araripe plateau, Northeastern Brazil. Acta Botanica Brasilica 18(4): 759-770.	-7.4	-39.3	Chapada do Araripe	Brazil	Ceara	yes	unmarked	no	no	no	no	107	NA	NA	NA	12	monthly	transition wet to dry season	cerrado woodland	1	yes	yes	yes	yes	sub-arbustos
38	COTERC unpublished	unpublished		10.593638	-83.52825	Barra del Colorado	Costa Rica	NA	yes	marked	no	no	no	no	39	NA	NA	NA	12	monthly	non-available	seasonally flooded forests	14	yes	no	no	no	no
39	Croat 1975		Croat, T. B. (1975). Phenological behavior of habit and habitat classes on Barro Colorado Island (Panama Canal Zone). Biotropica 7(4): 270-277.	9.15	-79.85	Barro Colorado Island	Panama	NA	yes	unmarked	no	yes	no	no	1253	NA	NA	NA	NA	irregular	primary in dry season and secondary in rainy season	seasonal forest	1	yes	yes	yes	yes	no
40	Daubenmire 1972	10.2307/2258048	Daubenmire, R. (1972). Phenology and other characteristics of tropical semi-deciduous forest in North-Western Costa Rica. Journal of Ecology 60(1): 147-170.	10.425086	-85.089722	Finca la Pacifica, Canas, Guanacaste	Costa Rica	NA	yes	marked	no	no	no	no	22	NA	NA	NA	12	weekly	dry season	tropical dry forest	2	yes	no	no	no	no
41	de Melo et al.  2013		de Melo, Celine, da Silva, Adriano Marcos and Oliveira, Paulo Eugenio (2013). Offer of fruits by zoochorous understory species in a forest gradient of cerrado. Bioscience Journal 29(6): 2030-2041.	-19.166667	-48.383333	EE Panga	Brazil	Minas Gerais	yes	marked	no	no	no	no	24	421	NA	NA	24	biweekly	rainy season	cerrado woodland	7	yes	yes	yes	yes	no
42	Defler & Defler 1996		Defler, T. R. and Defler, S. B. (1996). Diet of a group of Lagothrix lagothricha lagothricha in southeastern Colombia. International Journal of Primatology 17(2): 161-190.	-1.07	-69.515278	Caparú	Colombia	NA	yes	marked	no	no	no	no	342	1162	NA	NA	58	monthly	non-available	rainforest	1	yes	no	no	no	no
43	Develey & Peres 2000	10.1017/s0266467400001255	Develey, P. F. and Peres, C. A. (2000). Resource seasonality and the structure of mixed species bird flocks in a coastal Atlantic forest of southeastern Brazil. Journal of Tropical Ecology 16: 33-53.	-24.543333	-47.302222	Jureia-Itatins Ecological Station	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	72	NA	NA	NA	12	monthly	transition dry to wet season	rainforest	1	yes	no	no	no	no
44	Di Fiore 2004	10.1023/B:IJOP.0000029122.99458.26	Di Fiore, A. (2004). Diet and feeding ecology of woolly monkeys in a western Amazonian rain forest. International Journal of Primatology 25(4): 767-801.	-0.683333	-75.466667	Yasuni National Park	Ecuador	NA	yes	marked	no	no	no	no	195	NA	NA	NA	12	monthly	rainy season	rainforest	1	yes	no	no	yes	treelets
45	Dinerstein 1986	10.2307/2388574	Dinerstein, E. (1986). REPRODUCTIVE ECOLOGY OF FRUIT BATS AND THE SEASONALITY OF FRUIT PRODUCTION IN A COSTA-RICAN CLOUD FOREST. Biotropica 18(4): 307-318.	10.3	-84.8	Monteverde	Costa Rica	NA	yes	marked	no	no	no	no	52	520	NA	NA	17	monthly	rainy season	montane formations	1	yes	yes	yes	yes	no
46	Donatti et al. unpublished			-19.570833	-56.245278	Pantanal	Brazil	Mato Grosso do Sul	yes	marked	no	no	no	no	93	700	NA	NA	38	monthly	rainy season	seasonally flooded forests	9	yes	no	no	no	no
47	Engel & Martins 2005		Engel, V. L. and Martins, F. R. (2005). Reproductive phenology of Atlantic forest tree species in Brazil: an eleven year study. Tropical Ecology 46(1): 1-16.	-19.1	-39.75	Llinhares Natural Reserve	Brazil	Espirito Santo	yes	marked	no	no	no	no	41	205	NA	NA	120	biweekly	dry season	rainforest	14	yes	no	no	no	no
48	Estrada & Coates-Estrada 2001	10.1017/s026646740100147x	Estrada, A. and Coates-Estrada, R. (2001). Species composition and reproductive phenology of bats in a tropical landscape at Los Tuxtlas, Mexico. Journal of Tropical Ecology 17: 627-646.	18.416667	-95.066667	Los Tuxtlas	Mexico	NA	no		yes	no	no	no	NA	NA	NA	NA	36	biweekly	dry season	rainforest	1					
49	Ferreira & Consolaro 2013		Ferreira, Maxmiller Cardoso and Consolaro, Helder (2013). Phenology and pollination and dispersal syndromes of understory species in an urban forest remnant in central Brazil. Bioscience Journal. 29(5): 1708-1720	Ferreira, Maxmiller Cardoso and Consolaro, Helder (2013). Phenology and pollination and dispersal syndromes of understory species in an urban forest remnant in central Brazil. Bioscience Journal. 29(5): 1708-1720.	-47.916667	Parque Santa Cruz	Brazil	Minas Gerais	yes	marked	no	no	no	no	11	NA	NA	NA	12	weekly	aseasonal	tropical dry forest	7	yes	yes	no	no	no
50	Ferreira & Parolin 2007		Ferreira, L.V. and Parolin, P. (2007). Tree phenology in Central Amazonian Floodplain forests: efffects of water level fluctuation and precipitation at community and population level. Pesquisas, Botânica 58: 139-156.	-3.033333	-60.283333	Rio Tamura-Mirim, Manaus	Brazil	Amazonas	yes	marked	no	no	no	no	29	468	NA	NA	12	monthly	dry season	seasonally flooded forests	1	no	no	no	no	
51	Figueiredo 2007		Figueiredo, E. (2007). Fenologia reprodutiva de espéces arbóreas no Campus da Universidade Federal do Rio de Janeiro. Instituto de Florestas Eng.: 60.	-22.818611	-43.642222	Campus Universidade Rio de Janeiro 	Brazil	Rio de Janeiro	yes	marked	no	no	no	no	31	155	NA	NA	36	biweekly	dry season	rainforest	1	yes	no	no	no	no
52	Flores 2012	Thesis	Flores, M. (2012). Estudio fenológico de 15 especies arbóreas preferidas para alimentación por fauna silvestre del Bosque Húmedo Tropical de Sitio Arqueológico Yaxhá, Petén, Guatemala.  Bachelor Thesis. Universidad de San Carlos, Guatemala. 93 pp.	17.066742	-89.393181	Yaxhá Petén	Guatemala	NA	yes	marked	no	no	no	no	15	150	NA	NA	28	biweekly	rainy season	rainforest	1	yes	no	no	no	no
53	Fournier 1976		Fournier, L. A. (1976). Phenology of premontane moist forest of San Pedro de Montes de Oca, Costa Rica. Turrialba 26(1): 54-59.	10.086111	-84.480556	San Pedro de Montes de Oca	Costa Rica	NA	yes	marked	no	no	no	no	42	116	NA	NA	20	biweekly (one year) and monthly	transition dry to wet season	seasonal forest	1	yes	no	no	no	no
54	Frankie et al 1974	http://www.jstor.org/stable/2258961	Frankie, G. W., Baker, H. G. and Opler, P. A. (1974). Comparative phenological studies of trees in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 62(3): 881-919.	10.422	-84.015	La Selva	Costa Rica	NA	yes	marked	no	no	no	no	185	468	NA	NA	13	monthly	dry season	rainforest	1	yes	no	no	no	no
55	Frankie et al 1974	http://www.jstor.org/stable/2258961	Frankie, G. W., Baker, H. G. and Opler, P. A. (1974). Comparative phenological studies of trees in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 62(3): 881-919.	10.5335	-85.315	Comelco Ranch	Costa Rica	NA	yes	marked	no	no	no	no	113	1137	NA	NA	13	monthly	dry season	tropical dry forest	2	yes	no	no	no	no
56	Freire et al. 2013		Schöngart, Jochen and Wittmann, Florian (2011). Biomass and Net Primary Production of Central Amazonian Floodplain Forests. Amazonian Floodplain Forests: Ecophysiology, Biodiversity and Sustainable Management: 347-388.	-22.744444	-42.859444	Itaborai	Brazil	Rio de Janeiro	yes	marked	no	no	no	no	21	91	NA	NA	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
57	Frenedozo 2004	10.1590/S1516-89132004000200014	Frenedozo, R. D. C. (2004). Plant reproductive phenology and dispersal patterns after natural regeneration in a limestone mining spoil banks. Brazilian Archives of Biology and Technology 47(2): 261-271.	-22.511111	-47.583333	Rio Claro	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	95	NA	NA	NA	24	biweekly	rainy season	tropical dry forest	1	yes	yes	yes	no	no
58	Funch et al 2002	10.1111/j.1744-7429.2002.tb00240.x	Funch, L. S., Funch, R. and Barroso, G. M. (2002). Phenology of gallery and montane forest in the Chapada Diamantina, Bahia, Brazil. Biotropica 34(1): 40-50.	-12.561408	-41.402833	rio Lençois montane forest	Brazil	Bahia	yes	marked	no	no	no	no	54	243	NA	NA	63	biweekly	rainy season	seasonally flooded forests	13	yes	no	no	no	no
59	Galdino unpublished			-8.975	-36.061667	Sao Jose de Lages (Cachoeira fragment)	Brazil	Alagoas	yes	marked	no	no	no	no	54	189	NA	NA	13	monthly	non-available	rainforest	1	yes	no	no	no	no
60	García et al. 2013		García, M.J., González, V.R. and Yaxcal, P.E. (2013). Levantamiento y evaluación de la línea base para el monitoreo de los efectos del cambio climático en la fenología reproductiva de especies vegetales de importancia ecológica en la Reserva de la Biosfera Maya. Proyecto FD 26-2011.	17.243333	-89.813333	Reserva Biosfera Maya	Guatemala	NA	yes	marked	no	no	no	no	12	120	NA	NA	24	unespecified	non-available	rainforest	1	yes	no	no	no	no
61	Gautier & Spichiger 1985		Gautier, L. and Spichiger, Rodolphe (1986). Ritmos de reproducción en el estrato arbóreo del Arborétum Jenaro Herrera (provincia de Requena, departamento de Loreto, Perú). Contribución al estudio de la flora y de la vegetación de la Amazonia peruana. . Candollea 41: 193-207.	-4.922083333	-73.75	Arboretum Jenaro Herrera	Peru	NA	yes	marked	no	no	no	no	34	NA	NA	NA	144	monthly	non-available	rainforest	1	yes	no	no	no	no
62	Genini et al 2009	10.1016/j.flora.2008.01.002	Genini, J., Galetti, M. and Morellato, L. P. C. (2009). Fruiting phenology of palms and trees in an Atlantic rainforest land-bridge island. Flora 204(2): 131-145.	-23.538167	-45.0775	Ilha Anchieta	Brazil	Sao Paulo	yes	marked	no	no	no	no	57	272	NA	NA	13	monthly	rainy season	rainforest	1	yes	no	no	no	palms
63	Gentry & Emmons 1987	10.2307/2388339	Gentry, A. H. and Emmons, L. H. (1987). Geographical variation in fertility, phenology, and composition of the understory of neotropical forests. Biotropica 19(3): 216-227.	-11.75	-71.5	Cocha Cashu	Peru	NA	yes	marked	no	no	no	no	28	NA	NA	NA	12	monthly	rainy season	rainforest	1	yes	yes	yes	yes	treelets
64	Glander 1975		Glander, K.E. (1975). Feeding patterns in mantled howling monkeys. Foraging behaviour: Ecological and Physicological Approaches: 231-258.	10.425086	-85.089722	Finca la Pacifica, Canas, Guanacaste	Costa Rica	NA	yes	marked	no	no	no	no	96	1699	NA	NA	12	monthly	rainy season	tropical dry forest	2	yes	no	no	no	no
65	Gomes 2001	10.1590/S0100-84042008000400013	Gomes, R., Pinheiro, M. C. B. P. and Lima, H. A. (2008). Reproductive phenology of four species of Sapotaceae at the Maricá, RJ sand bar. Revista Brasileira de Botânica 31(4): 679-687.	-24.269167	-48.415556	Intervales	Brazil	Sao Paulo	yes	marked	yes	no	no	no	36	NA	60	1	12	monthly	non-available	rainforest	1					
66	Gonzalez-Zamora et al. unpublished			16.106947	-91.987947	Lancadona, CF1	Mexico	NA	no		no	no	yes	no	68	NA	60	1.77	13	monthly	non-available	temperate evergreen forest	3	yes	yes	no	yes	no
67	Gonzalez-Zamora et al. unpublished			16.113958	-90.940128	Lancadona, CF2	Mexico	NA	no		no	no	yes	no	68	NA	60	1.77	13	monthly	non-available	temperate evergreen forest	3	yes	yes	no	yes	no
68	Gonzalez-Zamora et al. unpublished			16.253008	-90.831617	Lancadona, FF1	Mexico	NA	no		no	no	yes	no	68	NA	60	1.77	13	monthly	non-available	rainforest	1	yes	yes	no	yes	no
69	Gonzalez-Zamora et al. unpublished			16.281708	-90.838864	Lancadona, FF2	Mexico	NA	no		no	no	yes	no	68	NA	60	1.77	13	monthly	non-available	rainforest	1	yes	yes	no	yes	no
70	Gonzalez-Zamora et al. unpublished			16.331667	-90.852972	Lancadona, FF3	Mexico	NA	no		no	no	yes	no	68	NA	60	1.77	13	monthly	non-available	rainforest	1	yes	yes	no	yes	no
71	Gottsberger & Silberbauer-Gottsberger 1983		Gottsberger, G. and Silberbauer-Gottsberger, I. (1983). Dispersal and distribution in the cerrado vegetation of Brazil. Sonderbänd des Naturwissenschaftlichen Vereins in Hamburg 7(l): 315-352.	-22.75	-48.416667	Botocatu	Brazil	Sao Paulo	yes	marked	no	no	no	no	271	NA	NA	NA	12	irregular	rainy season	cerrado woodland	7	yes	yes	no	no	no
72	Gressler 2010	Thesis	Gressler, E. (2010). Fenologia de espécies de floresta atlântica, Núcleo Picinguaba, Parque Estadual da Serra do Mar, Estado de São Paulo: comparação entre estratos e influência de borda natural. PhD Thesis. Universidade Estadual Paulista. 262 pp.	-23.333889	-44.831667	Pinciguaba	Brazil	Sao Paulo	yes	marked	no	no	no	no	265	2532	NA	NA	36	monthly	rainy season	rainforest	1	yes	yes	yes	no	no
