ECO_ID	eco_id2	eco_name	area	sp_wfig	sp_range	data_sit	comments
11310	AA1310	Western Australian Mulga shrublands	460453	900	600-1200	4	
11401	AA1401	New Guinea mangroves	26827	250	20-400	4	
21101	AN1101	Marielandia Antarctic tundra	1146479	2	x	1	
21102	AN1102	Maudlandia Antarctic desert	2115534	0	x	1	
21103	AN1103	Scotia Sea Island tundra	8468	24	x	1	
21104	AN1104	Southern Indian Ocean Island tundra	8153	35	29-45	2	
30101	AT0101	Albertine Rift montane forests	103870	3500	3000-4000	2	
30102	AT0102	Atlantic Equatorial coastal forests	189665	6000	5500-6800	2	
30103	AT0103	Cameroonian Highlands forests	38045	3300	3000-4000	4	
30104	AT0104	Central Congolian lowland forests	414758	3600	3200-4300	2	
30105	AT0105	Comoros forests	2063	1500	1300-1700	2	
30106	AT0106	Cross-Niger transition forests	20720	2100	1800-2600	3	
30107	AT0107	Cross-Sanaga-Bioko coastal forests	52150	4000	3700-4400	2	
30108	AT0108	East African montane forests	65498	4000	3500-5000	3	
30109	AT0109	Eastern Arc forests	23658	3200	2900-3600	2	
30110	AT0110	Eastern Congolian swamp forests	92736	2000	1600-2400	3	
30111	AT0111	Eastern Guinean forests	189409	3200	3000-3500	2	
30112	AT0112	Ethiopian montane forests	248762	4000	3000-5000	3	
30113	AT0113	Granitic Seychelles forests	289	280	260-300	2	
30114	AT0114	Guinean montane forests	31051	2700	2400-3000	2	
30115	AT0115	Knysna-Amatole montane forests	3069	1000	600-1800	3	
30116	AT0116	KwaZulu-Cape coastal forest mosaic	17792	2000	1500-2800	3	
30117	AT0117	Madagascar lowland forests	112640	6000	5000-7000	2	
30118	AT0118	Madagascar subhumid forests	199509	3200	2500-4000	3	
30119	AT0119	Maputaland coastal forest mosaic	30202	2700	2500-3000	2	
30120	AT0120	Mascarene forests	4946	950	900-1200	2	
30121	AT0121	Mount Cameroon and Bioko montane forests	1146	3300	3000-3800	3	
30122	AT0122	Niger Delta swamp forests	14407	1500	1200-1800	3	
30123	AT0123	Nigerian lowland forests	67263	3000	2800-3200	2	
30124	AT0124	Northeastern Congolian lowland forests	533473	3600	3200-4300	2	
30125	AT0125	Northern Zanzibar-Inhambane coastal forest mosaic	111829	3300	2700-4500	3	
30126	AT0126	Northwestern Congolian lowland forests	434148	4100	3500-5000	3	
30127	AT0127	Sao Tome and Principe moist lowland forests	1038	950	900-1100	2	
30128	AT0128	Southern Zanzibar-Inhambane coastal forest mosaic	144779	2800	2400-3500	3	
30129	AT0129	Western Congolian swamp forests	128643	2100	1700-2500	3	
30130	AT0130	Western Guinean lowland forests	206688	3300	3100-3600	3	
30201	AT0201	Cape Verde Islands dry forests	4564	257	x	1	
30202	AT0202	Madagascar dry deciduous forests	151328	2100	1800-2400	2	
30203	AT0203	Zambezian Cryptosepalum dry forests	38229	1300	800-1700	4	
30701	AT0701	Angolan Miombo woodlands	660083	2400	1800-3200	3	
30702	AT0702	Angolan Mopane woodlands	133462	1100	900-1400	3	
30703	AT0703	Ascension scrub and grasslands	93	25	x	1	
30704	AT0704	Central Zambezian Miombo woodlands	1184205	3800	3300-4300	3	
30705	AT0705	East Sudanian savanna	917581	2300	2000-2700	3	
30706	AT0706	Eastern Miombo woodlands	483901	2800	2500-3300	3	
30707	AT0707	Guinean forest-savanna mosaic	673601	2500	2200-3000	3	
30708	AT0708	Itigi-Sumbu thicket	7843	1000	500-1500	4	
30709	AT0709	Kalahari Acacia-Baikiaea woodlands	335478	1400	1300-1900	3	
30710	AT0710	Mandara Plateau mosaic	7509	600	400-800	4	
30711	AT0711	Northern Acacia-Commiphora bushlands and thickets	325951	1300	1100-1500	2	
30712	AT0712	Northern Congolian forest-savanna mosaic	708130	2500	2100-2900	3	
30713	AT0713	Sahelian Acacia savanna	3053217	1300	1200-1400	2	
30714	AT0714	Serengeti volcanic grasslands	18029	1000	500-1500	4	
30715	AT0715	Somali Acacia-Commiphora bushlands and thickets	1053347	2600	2300-3000	2	
30716	AT0716	Southern Acacia-Commiphora bushlands and thickets	227783	2300	1800-2800	3	
30717	AT0717	Southern Africa bushveld	223106	1500	1000-2000	3	
30718	AT0718	Southern Congolian forest-savanna mosaic	569692	3000	2700-3500	3	
30719	AT0719	Southern Miombo woodlands	408257	2200	1800-3000	3	
30720	AT0720	St. Helena scrub and woodlands	130	60	x	1	
30721	AT0721	Victoria Basin forest-savanna mosaic	165792	2500	2300-3000	2	
30722	AT0722	West Sudanian savanna	1638522	2100	1700-2500	2	
30723	AT0723	Western Congolian forest-savanna mosaic	413492	3300	3000-3700	2	
30724	AT0724	Western Zambezian grasslands	34016	800	600-1200	4	
30725	AT0725	Zambezian and Mopane woodlands	473318	2500	2200-3200	3	
30726	AT0726	Zambezian Baikiaea woodlands	264437	1300	1200-1800	3	
30801	AT0801	Al Hajar Al Gharbi montane woodlands	25548	700	500-1000	3	
30802	AT0802	Amsterdam and Saint-Paul Islands temperate grasslands	69	60	55-70	2	
30803	AT0803	Tristan Da Cunha-Gough Islands shrub and grasslands	167	90	80-100	2	
30901	AT0901	East African halophytics	2637	80	50-200	4	
30902	AT0902	Etosha Pan halophytics	7231	80	30-200	3	
30903	AT0903	Inner Niger Delta flooded savanna	46032	500	300-800	4	
30904	AT0904	Lake Chad flooded savanna	18833	600	400-800	4	
30905	AT0905	Saharan flooded grasslands	179722	1300	900-1700	4	
30906	AT0906	Zambezian coastal flooded savanna	19545	1100	700-1500	4	
30907	AT0907	Zambezian flooded grasslands	153452	1400	1000-1900	4	
30908	AT0908	Zambezian halophytics	30371	80	50-200	4	
31001	AT1001	Angolan montane forest-grassland mosaic	25518	2000	1700-2500	3	
31002	AT1002	Angolan scarp savanna and woodlands	74358	1500	1000-2000	4	
31003	AT1003	Drakensberg alti-montane grasslands and woodlands	11908	800	400-1200	3	
31004	AT1004	Drakensberg montane grasslands, woodlands and forests	202216	3700	3000-4500	2	
31005	AT1005	East African montane moorlands	3289	400	350-550	3	
31006	AT1006	Eastern Zimbabwe montane forest-grassland mosaic	7828	1700	1200-2600	3	
31007	AT1007	Ethiopian montane grasslands and woodlands	245361	2000	1700-2500	3	
31008	AT1008	Ethiopian montane moorlands	25154	700	600-800	2	
31009	AT1009	Highveld grasslands	186165	1900	1600-2200	2	
31010	AT1010	Jos Plateau forest-grassland mosaic	13337	1300	900-1600	3	
31011	AT1011	Madagascar ericoid thickets	1278	1000	600-1500	4	
31012	AT1012	Maputaland-Pondoland bushland and thickets	19533	2100	1800-3000	3	
31013	AT1013	Ruwenzori-Virunga montane moorlands	2673	400	350-550	3	
31014	AT1014	South Malawi montane forest-grassland mosaic	10228	1900	1500-2800	3	
31015	AT1015	Southern Rift montane forest-grassland mosaic	33497	1900	1500-2500	3	
31201	AT1201	Albany thickets	17098	1200	700-2000	3	
31202	AT1202	Lowland fynbos and renosterveld	32553	3000	2500-3500	3	
31203	AT1203	Montane fynbos and renosterveld	45780	6300	5500-7000	2	
31301	AT1301	Aldabra Island xeric scrub	182	180	170-200	2	
31302	AT1302	Arabian Peninsula coastal fog desert	82969	1000	700-1200	3	
31303	AT1303	East Saharan montane xeric woodlands	27871	700	600-800	2	
31304	AT1304	Eritrean coastal desert	4425	100	50-200	4	
31305	AT1305	Ethiopian xeric grasslands and shrublands	152173	850	700-1000	3	
31306	AT1306	Gulf of Oman desert and semi-desert	62449	300	200-500	3	
31307	AT1307	Hobyo grasslands and shrublands	26098	800	600-1000	3	
31308	AT1308	Ile Europa and Bassas da India xeric scrub	22	80	40-250	4	
31309	AT1309	Kalahari xeric savanna	588118	700	600-900	2	
31310	AT1310	Kaokoveld desert	45739	500	300-800	3	
31311	AT1311	Madagascar spiny thickets	44279	1100	800-1500	3	
31312	AT1312	Madagascar succulent woodlands	79857	1400	1000-1800	3	
31313	AT1313	Masai xeric grasslands and shrublands	100960	900	700-1300	4	
31314	AT1314	Nama Karoo	351112	1100	1000-1300	2	
31315	AT1315	Namib desert	80874	1000	700-1800	3	
31316	AT1316	Namibian savanna woodlands	225512	1100	900-1800	3	
31317	AT1317	Red Sea coastal desert	56323	350	200-500	3	
31318	AT1318	Socotra Island xeric shrublands	3819	750	500-1000	2	
31319	AT1319	Somali montane xeric woodlands	62157	1500	1100-1800	2	
31320	AT1320	Southwestern Arabian foothills savanna	274663	400	200-700	3	
31321	AT1321	Southwestern Arabian montane woodlands	86917	2000	1500-2200	2	
31322	AT1322	Succulent Karoo	102658	4850	4800-5000	2	
31401	AT1401	Central African mangroves	29910	200	20-400	4	
31402	AT1402	East African mangroves	15137	200	20-400	4	
31403	AT1403	Guinean mangroves	22762	200	20-400	4	
31404	AT1404	Madagascar mangroves	5530	200	20-400	4	
31405	AT1405	Southern Africa mangroves	994	200	20-400	4	
40101	IM0101	Andaman Islands rain forests	5718	1827	x	1	
40102	IM0102	Borneo lowland rain forests	427512	10000	8000-15000	3	
40103	IM0103	Borneo montane rain forests	115599	4000	3000-5500	2	
40104	IM0104	Borneo peat swamp forests	67474	2500	2000-3000	2	
40105	IM0105	Brahmaputra Valley semi-evergreen forests	56713	2500	1500-3500	3	
40106	IM0106	Cardamom Mountains rain forests	44248	3000	2000-4000	3	
40107	IM0107	Chao Phraya freshwater swamp forests	39001	1100	900-1500	3	
40108	IM0108	Chao Phraya lowland moist deciduous forests	20414	2000	1500-3000	3	
40109	IM0109	Chin Hills-Arakan Yoma montane forests	29696	2600	2200-3200	3	
40110	IM0110	Christmas and Cocos Islands tropical forests	135	220	200-240	2	
40111	IM0111	Eastern highlands moist deciduous forests	341149	1600	1200-2200	2	
40112	IM0112	Eastern Java-Bali montane rain forests	15898	1500	1000-2200	3	
40113	IM0113	Eastern Java-Bali rain forests	53898	2900	2200-3500	3	
40114	IM0114	Greater Negros-Panay rain forests	34999	3000	2500-3500	3	
40115	IM0115	Himalayan subtropical broadleaf forests	38187	1800	1500-2500	3	
40116	IM0116	Irrawaddy freshwater swamp forests	15158	1000	700-2000	3	
40117	IM0117	Irrawaddy moist deciduous forests	138290	1800	1500-2800	3	
40118	IM0118	Jian Nan subtropical evergreen forests	663569	5500	4500-7500	2	
40119	IM0119	Kayah-Karen montane rain forests	119541	4000	3000-5500	3	
40120	IM0120	Lower Gangetic Plains moist deciduous forests	254061	3500	2500-4500	3	
40121	IM0121	Luang Prabang montane rain forests	71813	3800	2500-5000	3	
40122	IM0122	Luzon montane rain forests	8301	1500	1300-2300	3	
40123	IM0123	Luzon rain forests	95469	5000	4000-6000	3	
40124	IM0124	Malabar Coast moist forests	35465	1500	1200-2500	3	
40125	IM0125	Maldives-Lakshadweep-Chagos Archipelago tropical moist forests	292	380	350-450	2	
40126	IM0126	Meghalaya subtropical forests	41712	3000	1500-4500	3	
40127	IM0127	Mentawai Islands rain forests	6498	1500	1000-2000	3	
40128	IM0128	Mindanao montane rain forests	18197	2000	1200-2800	3	
40129	IM0129	Mindanao-Eastern Visayas rain forests	105113	4300	3500-5000	3	
40130	IM0130	Mindoro rain forests	10117	2500	2000-3000	3	
40131	IM0131	Mizoram-Manipur-Kachin rain forests	135558	3800	2800-4500	3	
40132	IM0132	Myanmar coastal rain forests	66552	2200	1800-3000	3	
40133	IM0133	Nicobar Islands rain forests	1696	1379	x	1	
40134	IM0134	North Western Ghats moist deciduous forests	48204	2300	1800-3000	3	
40135	IM0135	North Western Ghats montane rain forests	30936	2800	2300-3500	3	
40136	IM0136	Northern Annamites rain forests	47207	3000	2000-4500	3	
40137	IM0137	Northern Indochina subtropical forests	437007	7000	5000-9000	2	
40138	IM0138	Northern Khorat Plateau moist deciduous forests	16849	1500	1200-2500	3	
40139	IM0139	Northern Thailand-Laos moist deciduous forests	42144	2300	1500-3500	3	
40140	IM0140	Northern Triangle subtropical forests	53874	3500	2500-4500	3	
40141	IM0141	Northern Vietnam lowland rain forests	22595	2800	2000-4000	3	
40142	IM0142	Orissa semi-evergreen forests	22293	1400	1200-1900	2	
40143	IM0143	Palawan rain forests	14334	2700	2500-3000	2	
40144	IM0144	Peninsular Malaysian montane rain forests	17175	3200	3000-4000	2	
40145	IM0145	Peninsular Malaysian peat swamp forests	3628	1100	800-1500	3	
40146	IM0146	Peninsular Malaysian rain forests	125508	7000	6000-8500	2	
40147	IM0147	Red River freshwater swamp forests	10755	800	600-1200	3	
40148	IM0148	South China Sea Islands	35	400	200-600	3	
40149	IM0149	South China-Vietnam subtropical evergreen forests	224306	6500	5000-9000	2	
40150	IM0150	South Western Ghats moist deciduous forests	23772	2300	1700-3000	3	
40151	IM0151	South Western Ghats montane rain forests	22637	3300	2800-3800	2	
40152	IM0152	Southern Annamites montane rain forests	46483	4000	3000-5000	3	
40153	IM0153	Southwest Borneo freshwater swamp forests	36769	1400	1000-1800	3	
40154	IM0154	Sri Lanka lowland rain forests	12555	2000	1700-2600	3	
40155	IM0155	Sri Lanka montane rain forests	3079	2200	1800-2800	3	
40156	IM0156	Sulu Archipelago rain forests	2334	1400	1000-1800	3	
40157	IM0157	Sumatran freshwater swamp forests	18076	1600	1200-2000	3	
40158	IM0158	Sumatran lowland rain forests	259455	7500	6000-8500	2	
40159	IM0159	Sumatran montane rain forests	72946	3500	2800-4500	2	
40160	IM0160	Sumatran peat swamp forests	87517	2000	1000-2500	3	
40161	IM0161	Sundaland heath forests	76553	1600	1200-2200	3	
40162	IM0162	Sundarbans freshwater swamp forests	14561	800	700-1500	3	
40163	IM0163	Tenasserim-South Thailand semi-evergreen rain forests	97322	4000	3000-6000	3	
40164	IM0164	Tonle Sap freshwater swamp forests	26029	800	500-1300	3	
40165	IM0165	Tonle Sap-Mekong peat swamp forests	29381	700	400-1100	3	
40166	IM0166	Upper Gangetic Plains moist deciduous forests	263099	2100	1500-2500	3	
40167	IM0167	Western Java montane rain forests	26285	2000	1500-2500	3	
40168	IM0168	Western Java rain forests	41662	3500	2500-4200	3	
40169	IM0169	Hainan Island monsoon rain forests	15536	3000	2200-3800	3	
40170	IM0170	Nansei Islands subtropical evergreen forests	4068	2000	1500-3000	3	
40171	IM0171	South Taiwan monsoon rain forests	2577	2700	1500-3500	3	
40172	IM0172	Taiwan subtropical evergreen forests	33400	3000	2200-4000	3	
40201	IM0201	Central Deccan Plateau dry deciduous forests	240159	1800	1300-2500	2	
40202	IM0202	Central Indochina dry forests	320077	3000	2000-4000	3	
40203	IM0203	Chhota-Nagpur dry deciduous forests	122423	1200	1000-2200	3	
40204	IM0204	East Deccan dry-evergreen forests	25533	1200	1000-2000	3	
40205	IM0205	Irrawaddy dry forests	35087	1000	700-1600	3	
40206	IM0206	Khathiar-Gir dry deciduous forests	266975	1400	1200-1900	2	
40207	IM0207	Narmada Valley dry deciduous forests	169883	1000	800-1600	3	
40208	IM0208	Northern dry deciduous forests	58322	1000	800-1800	3	
40209	IM0209	South Deccan Plateau dry deciduous forests	82253	2000	1500-3000	3	
40210	IM0210	Southeastern Indochina dry evergreen forests	124260	4000	3000-6000	3	
40211	IM0211	Southern Vietnam lowland dry forests	35038	1700	1500-2500	3	
40212	IM0212	Sri Lanka dry-zone dry evergreen forests	48421	1200	900-1800	3	
40301	IM0301	Himalayan subtropical pine forests	76203	1000	800-1800	3	
40302	IM0302	Luzon tropical pine forests	7076	1300	1000-2000	3	
40303	IM0303	Northeast India-Myanmar pine forests	9705	1000	700-1800	3	
40304	IM0304	Sumatran tropical pine forests	2761	1000	500-1500	3	
40401	IM0401	Eastern Himalayan broadleaf forests	83050	4500	3500-5500	3	
40402	IM0402	Northern Triangle temperate forests	10727	2500	1500-3500	3	
40403	IM0403	Western Himalayan broadleaf forests	55862	1200	1000-2000	3	
40501	IM0501	Eastern Himalayan subalpine conifer forests	27480	2000	1500-3000	3	
40502	IM0502	Western Himalayan subalpine conifer forests	39676	1000	800-1800	3	
40701	IM0701	Terai-Duar savanna and grasslands	34580	1000	600-1400	3	
40901	IM0901	Rann of Kutch seasonal salt marsh	27904	800	200-1200	3	
41001	IM1001	Kinabalu montane alpine meadows	4339	3800	3000-4500	2	
41301	IM1301	Deccan thorn scrub forests	340260	1300	1000-2000	2	
41302	IM1302	Indus Valley desert	19497	400	300-500	4	
41303	IM1303	Northwestern thorn scrub forests	488301	1000	800-1200	2	
41304	IM1304	Thar desert	238654	650	550-750	2	
41401	IM1401	Godavari-Krishna mangroves	7004	200	20-400	4	
41402	IM1402	Indochina mangroves	26869	200	20-400	4	
41403	IM1403	Indus River Delta-Arabian Sea mangroves	5793	200	20-400	4	
41404	IM1404	Myanamar Coast mangroves	21315	200	20-400	4	
41405	IM1405	Sunda Shelf mangroves	37448	250	20-400	3	
41406	IM1406	Sundarbans mangroves	20436	350	300-600	2	
50201	NA0201	Sonoran-Sinaloan transition subtropical dry forest	50983	1700	1500-2100	4	
50301	NA0301	Bermuda subtropical conifer forests	38	167	x	1	
50302	NA0302	Sierra Madre Occidental pine-oak forests	222740	4400	3800-4800	2	
50303	NA0303	Sierra Madre Oriental pine-oak forests	65633	3300	2500-4500	4	
50401	NA0401	Allegheny Highlands forests	83881	1883	x	1	
50402	NA0402	Appalachian mixed mesophytic forests	192152	2487	x	1	
50403	NA0403	Appalachian/Blue Ridge forests	159266	2398	x	1	
50404	NA0404	Central U.S. hardwood forests	296019	2332	x	1	
50405	NA0405	East Central Texas forests	52637	1553	x	1	
50406	NA0406	Eastern forest/boreal transition	347681	1228	x	1	
50407	NA0407	Eastern Great Lakes lowland forests	116417	1381	x	1	
50408	NA0408	Gulf of St. Lawrence lowland forests	39415	1033	x	1	
50409	NA0409	Mississippi lowland forests	112284	1468	x	1	
50410	NA0410	New England/Acadian forests	237594	1496	x	1	
50411	NA0411	Northeastern coastal forests	89644	1695	x	1	
50412	NA0412	Ozark Mountain forests	62011	1743	x	1	
50413	NA0413	Southeastern mixed forests	347798	3363	x	1	
50414	NA0414	Southern Great Lakes forests	244469	2243	x	1	
50415	NA0415	Upper Midwest Forest/Savanna transition zone	166123	1420	x	1	
50416	NA0416	Western Great Lakes forests	273951	1459	x	1	
50417	NA0417	Willamette Valley forests	14850	1067	x	1	
50501	NA0501	Alberta Mountain forests	39769	660	x	1	
50502	NA0502	Alberta/British Columbia foothills forests	120460	740	x	1	
50503	NA0503	Arizona Mountains forests	109079	2204	x	1	
50504	NA0504	Atlantic coastal pine barrens	8962	632	x	1	
50505	NA0505	Blue Mountains forests	64701	1134	x	1	
50506	NA0506	British Columbia mainland coastal forests	137212	1325	x	1	
50507	NA0507	Cascade Mountains leeward forests	46293	1328	x	1	
50508	NA0508	Central and Southern Cascades forests	44850	1296	x	1	
50509	NA0509	Central British Columbia Mountain forests	71747	909	x	1	
50510	NA0510	Central Pacific coastal forests	73656	1109	x	1	
50511	NA0511	Colorado Rockies forests	132739	1626	x	1	
50512	NA0512	Eastern Cascades forests	55200	1224	x	1	
50513	NA0513	Florida sand pine scrub	3886	951	x	1	
50514	NA0514	Fraser Plateau and Basin complex	137055	1012	x	1	
50515	NA0515	Great Basin montane forests	5786	1043	x	1	
50516	NA0516	Klamath-Siskiyou forests	50299	1859	x	1	
50517	NA0517	Middle Atlantic coastal forests	133606	1488	x	1	
50518	NA0518	North Central Rockies forests	245687	1695	x	1	
50519	NA0519	Northern California coastal forests	13273	1212	x	1	
50520	NA0520	Northern Pacific coastal forests	60437	615	x	1	
50521	NA0521	Northern transitional alpine forests	25658	876	x	1	
50522	NA0522	Okanogan dry forests	53314	1355	x	1	
50523	NA0523	Piney Woods forests	140892	1729	x	1	
50524	NA0524	Puget lowland forests	22540	1100	x	1	
50525	NA0525	Queen Charlotte Islands	9955	459	x	1	
50526	NA0526	Sierra Juarez & San Pedro Martir pine-oak forests	4005	1200	900-1600	4	
50527	NA0527	Sierra Nevada forests	52832	2373	x	1	
50528	NA0528	South Central Rockies forests	159347	1933	x	1	
50529	NA0529	Southeastern conifer forests	236608	3095	x	1	
50530	NA0530	Wasatch and Uinta montane forests	41465	1109	x	1	
50601	NA0601	Alaska Peninsula montane taiga	47803	510	x	1	
50602	NA0602	Central Canadian Shield forests	461695	1246	x	1	
50603	NA0603	Cook Inlet taiga	27849	738	x	1	
50604	NA0604	Copper Plateau taiga	17170	407	x	1	
50605	NA0605	Eastern Canadian forests	486866	1140	x	1	
50606	NA0606	Eastern Canadian Shield taiga	753777	925	x	1	
50607	NA0607	Interior Alaska/Yukon lowland taiga	443328	810	x	1	
50608	NA0608	Mid-Continental Canadian forests	367875	613	x	1	
50609	NA0609	Midwestern Canadian Shield forests	545896	797	x	1	
50610	NA0610	Muskwa/Slave Lake forests	262295	722	x	1	
50611	NA0611	Newfoundland Highland forests	16338	473	x	1	
50612	NA0612	Northern Canadian Shield taiga	613665	720	x	1	
50613	NA0613	Northern Cordillera forests	262780	823	x	1	
50614	NA0614	Northwest Territories taiga	345833	576	x	1	
50615	NA0615	South Avalon-Burin oceanic barrens	2030	258	x	1	
50616	NA0616	Southern Hudson Bay taiga	373725	1178	x	1	
50617	NA0617	Yukon Interior dry forests	62370	692	x	1	
50701	NA0701	Western Gulf coastal grasslands	80624	2180	2150-2250	1	
50801	NA0801	California Central Valley grasslands	55056	1682	x	1	
50802	NA0802	Canadian Aspen forests and parklands	397393	1464	x	1	
50803	NA0803	Central and Southern mixed grasslands	282139	2081	x	1	
50804	NA0804	Central forest/grasslands transition zone	406988	2124	x	1	
50805	NA0805	Central tall grasslands	248437	1779	x	1	
50806	NA0806	Edwards Plateau savanna	61800	2361	x	1	
50807	NA0807	Flint Hills tall grasslands	29612	1174	x	1	
50808	NA0808	Montana Valley and Foothill grasslands	81704	1197	x	1	
50809	NA0809	Nebraska Sand Hills mixed grasslands	61117	1185	x	1	
50810	NA0810	Northern mixed grasslands	218936	1595	x	1	
50811	NA0811	Northern short grasslands	638370	1867	x	1	
50812	NA0812	Northern tall grasslands	76019	1055	x	1	
50813	NA0813	Palouse grasslands	46868	1290	x	1	
50814	NA0814	Texas blackland prairies	50256	1531	x	1	
50815	NA0815	Western short grasslands	435154	2359	x	1	
51101	NA1101	Alaska/St. Elias Range tundra	151790	747	x	1	
